offer,text,price,on_stock,x,y,z,link
buy,Bamboo | 64,3.0,1.0,-1923,67,528,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1923,67,528;6"
buy,1x Mending | N/A,22.0,0.0,-1914,68,540,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,540;6"
buy,1x Looting 3 | N/A,25.0,1.0,-1914,67,540,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,540;6"
buy,1x Protection 4 | N/A,30.0,0.0,-1914,66,540,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,66,540;6"
buy,1x Aqua | affinity,20.0,1.0,-1914,66,539,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,66,539;6"
buy,1x Sweeping 3 | N/A,25.0,1.0,-1914,67,539,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,539;6"
buy,1x Fortune 3 | N/A,25.0,0.0,-1914,68,539,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,539;6"
buy,16x Quartz | N/A,4.0,0.0,-1925,66,544,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1925,66,544;6"
buy,64x Smooth Stone | N/A,4.0,0.0,-1923,66,544,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1923,66,544;6"
buy,8x GlowStone | N/A,4.3,1.0,-1921,66,544,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,66,544;6"
buy,x16 Chicken | (Cooked),1.5,0.0,-1921,70,556,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,70,556;6"
buy,x16 Apples | N/A,2.0,0.0,-1921,70,555,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,70,555;6"
buy,Pumpkins | x64,2.0,0.0,-1925,66,555,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1925,66,555;6"
buy,64x Glass | N/A,15.0,1.0,-1922,66,544,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1922,66,544;6"
buy,Pumpkins | Half a Dub,54.0,0.0,-1926,68,557,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1926,68,557;6"
buy,Half a dub of  | pumpkins,54.0,0.0,-1926,68,555,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1926,68,555;6"
buy,Pumpkins | Half a Dub,54.0,0.0,-1926,68,554,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1926,68,554;6"
buy,HALF A DUB OF  | PUMPKINS,54.0,0.0,-1926,68,558,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1926,68,558;6"
buy,Azurite | God Helmet,275.0,0.0,-1909,69,524,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1909,69,524;6"
buy,Azurite | God Chest,150.0,0.0,-1909,67,524,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1909,67,524;6"
buy,steak | x8,4.5,1.0,-1909,72,524,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1909,72,524;6"
buy,Tuff | 64,0.5,1.0,-1904,68,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1904,68,526;6"
buy,Gravel | 64,2.0,1.0,-1904,66,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1904,66,526;6"
buy,Diorite | 64,2.0,1.0,-1903,66,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1903,66,526;6"
buy,Azurite | Full God Set,750.0,0.0,-1909,70,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1909,70,523;6"
buy,Arrows | 32,0.5,0.0,-1901,74,527,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1901,74,527;6"
buy,Smooth Basalt | 64,1.0,1.0,-1903,68,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1903,68,526;6"
buy,iron bars | x64,18.0,0.0,-1909,72,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1909,72,523;6"
buy,Andesite | 64,2.0,1.0,-1902,66,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1902,66,526;6"
buy,Deepslate | 64,0.5,1.0,-1902,68,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1902,68,526;6"
buy,Obsidian | 16,14.0,1.0,-1901,68,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1901,68,526;6"
buy,Granite | 64,2.0,1.0,-1901,66,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1901,66,526;6"
buy,hay bales | x16,10.0,1.0,-1909,72,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1909,72,522;6"
buy,Azurite | God Leggings,150.0,1.0,-1909,69,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1909,69,522;6"
buy,Azurite | God Boots,275.0,0.0,-1909,67,522,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1909,67,522;6"
buy,Golden Apples | 5,25.0,0.0,-1900,67,526,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1900,67,526;6"
buy,Red Mushroom Blk | 16,3.0,1.0,-1901,68,525,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1901,68,525;6"
buy,Lead | x1,5.0,1.0,-1909,72,521,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1909,72,521;6"
buy,Azurite | Saber,300.0,0.0,-1909,68,521,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1909,68,521;6"
buy,Light Gray Wool | 16,2.0,1.0,-1904,67,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1904,67,523;6"
buy,Purple Wool | 16,2.0,0.0,-1904,68,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1904,68,523;6"
buy,Golden Carrots | 5,25.0,1.0,-1900,67,525,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1900,67,525;6"
buy,Black Wool | 16,3.0,0.0,-1904,66,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1904,66,523;6"
buy,String | 32,0.75,0.0,-1904,74,523,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1904,74,523;6"
